,spectrum_id,mz,intensity,formula,formula_massdiff,formula_massdiff_ppm,n_averaged,rel_intensity,min_intensity,max_intensity,cluster
36,Ruthenium2_AvSpec_1,186.22284461373465,45306.49063873291,C12 H28 N,0.0010274940465819,3.624803530889536,2.0,0.1051861584988502,0.3277126449221006,0.3566785654620806,0.0
37,Ruthenium2_AvSpec_1,326.37408334166736,14491.5224609375,,-1.0,-1.0,2.0,0.0336443533139747,0.1044672646258022,0.1207409252629038,10.0
38,Ruthenium2_AvSpec_1,326.37548165458946,60873.62109375,,-1.0,-1.0,2.0,0.1413277052911291,0.458755147249621,0.4742067963452896,9.0
39,Ruthenium2_AvSpec_1,326.376879976498,107241.234375,,-1.0,-1.0,2.0,0.2489774272416826,0.8107814943577641,0.83112245790487,4.0
40,Ruthenium2_AvSpec_1,326.37827830739286,131030.91015625,,-1.0,-1.0,2.0,0.3042089089142787,1.0,1.0,18.0
41,Ruthenium2_AvSpec_2,50.60518767464879,668.0161590576172,,-1.0,-1.0,1.0,0.0051177505423801,-1.0,-1.0,32.0
42,Ruthenium2_AvSpec_2,51.42809577160248,699.7261047363281,,-1.0,-1.0,1.0,0.0053606841742925,-1.0,-1.0,35.0
43,Ruthenium2_AvSpec_2,52.90694408393009,743.4588928222656,,-1.0,-1.0,1.0,0.0056957262191771,-1.0,-1.0,33.0
44,Ruthenium2_AvSpec_2,53.33970516609448,820.9849548339844,,-1.0,-1.0,1.0,0.0062896625192642,-1.0,-1.0,38.0
45,Ruthenium2_AvSpec_2,53.7559194421335,871.5205154418945,,-1.0,-1.0,1.0,0.0066768214063717,-1.0,-1.0,24.0
46,Ruthenium2_AvSpec_2,54.4667119142448,736.6449966430664,,-1.0,-1.0,1.0,0.0056435241573048,-1.0,-1.0,43.0
47,Ruthenium2_AvSpec_2,54.48845338848603,670.4915771484375,,-1.0,-1.0,1.0,0.0051367150121839,-1.0,-1.0,31.0
48,Ruthenium2_AvSpec_2,56.08353561858132,842.4604949951172,,-1.0,-1.0,1.0,0.0064541891640426,-1.0,-1.0,44.0
49,Ruthenium2_AvSpec_2,58.19489227990052,776.8302001953125,,-1.0,-1.0,1.0,0.0059513877388764,-1.0,-1.0,36.0
50,Ruthenium2_AvSpec_2,58.70547706342713,789.7777099609375,,-1.0,-1.0,1.0,0.0060505801374839,-1.0,-1.0,28.0
51,Ruthenium2_AvSpec_2,60.60348552211734,830.3820495605469,,-1.0,-1.0,1.0,0.0063616547697234,-1.0,-1.0,23.0
52,Ruthenium2_AvSpec_2,62.07056897978596,821.3007583618164,,-1.0,-1.0,1.0,0.0062920819273188,-1.0,-1.0,30.0
53,Ruthenium2_AvSpec_2,63.02392301159499,2444.451316833496,C5 H3,0.0004479149049885,2.8141025141018683,1.0,0.0187272296978483,-1.0,-1.0,15.0
54,Ruthenium2_AvSpec_2,66.51994044047396,761.9814376831055,,-1.0,-1.0,1.0,0.0058376296188516,-1.0,-1.0,39.0
55,Ruthenium2_AvSpec_2,66.75227013827829,793.2444534301758,,-1.0,-1.0,1.0,0.0060771392678723,-1.0,-1.0,25.0
56,Ruthenium2_AvSpec_2,75.32829431447227,871.5652847290039,,-1.0,-1.0,1.0,0.0066771643891578,-1.0,-1.0,41.0
