,0
0,0.0
1,0.15426176717488058
2,0.16381666487550942
3,0.220244174063912
4,0.19118040868810776
5,0.22416031244112536
6,0.21428055003531415
7,0.21734513704886305
8,0.24005887992233824
9,0.24966102937757476
10,0.24689408559215012
11,0.2660811379392701
12,0.2897746033894729
13,0.3196735412614704
14,0.36189108817426285
15,0.40206460303366215
16,0.4477102239773884
17,0.4694667673540905
18,0.48231828293076817
19,0.4883859580644196
20,0.4863281012882121
21,0.48572687588991914
22,0.4990578135931969
23,0.5386986170489696
24,0.5833942772797438
25,0.6391365860173467
26,0.6941153740389027
27,0.7502551229033348
28,0.7916228805680104
29,0.8329800438815164
30,0.873152462999516
31,0.898493044792506
32,0.9223962429019751
33,0.9406726828651379
34,0.9593749294909265
35,0.9601476237952296
36,0.9573881740442737
37,0.9691228902258611
38,0.9798096966072272
39,0.9807322090708631
40,0.988539221922119
41,0.9917002460892321
42,0.992051873289801
43,0.9959230590181564
44,0.9940840666326746
45,0.9967172354139359
46,0.9963659624700828
47,0.9970950018146971
48,0.9966035398367701
49,0.9965860767109036
