,spectrum_id,mz,intensity,formula,formula_massdiff,formula_massdiff_ppm,n_averaged,rel_intensity,min_intensity,max_intensity,cluster
0,Ruthenium_AvSpec_0,51.3118860191556,922.9051094055176,,-1.0,-1.0,2.0,0.0051587576717328,0.0107224249263791,0.0135780624779529,13.0
1,Ruthenium_AvSpec_0,51.64303717620257,1535.7793579101562,,-1.0,-1.0,2.0,0.0085845375260858,0.0162963536733356,0.0263637215460058,11.0
2,Ruthenium_AvSpec_0,51.78425908426912,624.2662582397461,,-1.0,-1.0,2.0,0.003489457709225,0.0108742258376152,0.0518609333086009,2.0
3,Ruthenium_AvSpec_0,52.97194578315936,910.2817535400392,,-1.0,-1.0,2.0,0.0050881969680913,0.0103570012244783,0.0135447477327592,27.0
4,Ruthenium_AvSpec_0,53.00320362304739,3807.769096374512,C3 H O,0.0004348955708834,2.4375127316056138,9.0,0.0212842662131998,0.0402339167724119,0.0992745536730667,24.0
5,Ruthenium_AvSpec_0,53.9925641839064,1506.546630859375,,-1.0,-1.0,2.0,0.0084211355106434,0.0127697819633512,0.0263200820852534,20.0
6,Ruthenium_AvSpec_0,55.45816998371065,690.7543258666992,,-1.0,-1.0,2.0,0.0038611056993095,0.0231506455406441,0.059931366378028,1.0
7,Ruthenium_AvSpec_0,58.16732048077714,766.6341552734375,,-1.0,-1.0,2.0,0.0042852507691465,0.0158336739594375,0.0769143471535844,14.0
8,Ruthenium_AvSpec_0,59.52210624941782,1260.3150100708008,,-1.0,-1.0,2.0,0.0070447759588099,0.0198999637192396,0.0559754771520695,0.0
9,Ruthenium_AvSpec_0,59.59809835103325,1690.178680419922,,-1.0,-1.0,2.0,0.0094475825795698,0.0186062636657146,0.0187569821769928,55.0
10,Ruthenium_AvSpec_0,59.92468881516457,1531.9974822998047,,-1.0,-1.0,2.0,0.0085633979965506,0.0132783477413941,0.0209957374073321,4.0
11,Ruthenium_AvSpec_0,64.1909331398856,1219.4300651550293,,-1.0,-1.0,2.0,0.0068162416045267,0.0193643156736509,0.0877861701720148,6.0
12,Ruthenium_AvSpec_0,65.03953505865091,57006.54476118088,,-1.0,-1.0,10.0,0.3186491732775827,0.775910113494158,1.0,40.0
13,Ruthenium_AvSpec_0,67.02999847802633,1881.9251914978024,,-1.0,-1.0,5.0,0.0105193870099172,0.0127830301101264,0.0711653505288867,3.0
14,Ruthenium_AvSpec_0,67.89915329428882,712.8865394592285,,-1.0,-1.0,2.0,0.0039848180132834,0.0116581692683511,0.0442833345960576,28.0
15,Ruthenium_AvSpec_0,68.68826527036671,1855.8225936889648,,-1.0,-1.0,2.0,0.0103734814608784,0.0131114881937924,0.016449451017318,19.0
16,Ruthenium_AvSpec_0,72.11765526695882,1308.1618766784666,,-1.0,-1.0,2.0,0.0073122253289187,0.0110242123270847,0.0115960916350525,10.0
17,Ruthenium_AvSpec_0,73.8240772911007,1149.1712913513184,,-1.0,-1.0,2.0,0.0064235165186293,0.0178197648363871,0.0456548232410071,12.0
18,Ruthenium_AvSpec_0,80.30231144136215,735.2787818908691,,-1.0,-1.0,2.0,0.0041099838090453,0.0230850363510464,0.0680144141566206,9.0
19,Ruthenium_AvSpec_0,93.03411855115516,7232.594244820731,,-1.0,-1.0,7.0,0.0404279927229286,0.0432045973183977,0.123804350232346,56.0
20,Ruthenium_AvSpec_0,111.0446982267976,4598.857341766357,,-1.0,-1.0,8.0,0.0257062078769117,0.0302165659697668,0.1164448884059031,25.0
21,Ruthenium_AvSpec_0,115.79908291040746,1100.3554039001465,,-1.0,-1.0,2.0,0.0061506506179807,0.0126992310059371,0.0162478653762802,5.0
22,Ruthenium_AvSpec_0,121.02918149057923,21596.056015205384,,-1.0,-1.0,10.0,0.1207153568792969,0.2292128315309862,0.391858285963389,21.0
23,Ruthenium_AvSpec_0,121.0401692896958,10598.86277923584,,-1.0,-1.0,10.0,0.0592444056456103,0.1046438694450871,0.2391444765616078,29.0
24,Ruthenium_AvSpec_0,149.02385110239513,52657.27694811926,,-1.0,-1.0,11.0,0.2943380946321248,0.0257808458943255,1.0,26.0
25,Ruthenium_AvSpec_1,53.00318255304077,1567.3798332214355,,-1.0,-1.0,2.0,0.0084193300690024,0.0100884022631215,0.0130937920194927,30.0
26,Ruthenium_AvSpec_1,57.07101808015344,28273.71608734131,C4 H9,0.0006584585161277,1.7334754536764456,3.0,0.1518749590693246,0.1677832795530439,0.2517323059392921,15.0
27,Ruthenium_AvSpec_1,58.06573347273469,15595.493131637571,C3 H8 N,0.0005141041854415,2.258926887225725,4.0,0.0837726768464596,0.0081889567697938,0.2143722455210587,12.0
28,Ruthenium_AvSpec_1,71.0863974829741,5547.089775085449,C5 H11,0.0005083694073846,2.7966507304068737,3.0,0.029796721093983,0.0232421929360673,0.0611264294340876,11.0
29,Ruthenium_AvSpec_1,85.10200789916456,3773.573230743408,C6 H13,0.0003871201644187,4.39667681309897,3.0,0.0202701080464215,0.0233320752735521,0.044082827424923,26.0
30,Ruthenium_AvSpec_1,98.98489775467516,7596.362991333008,,-1.0,-1.0,3.0,0.0408045873708467,0.0262058133583352,0.0897293967584819,14.0
31,Ruthenium_AvSpec_1,184.2063103741436,2268.237205505371,C12 H26 N,0.0001900689944136,19.38310194586755,2.0,0.0121840522017507,0.0163449231810624,0.0265711642769771,10.0
32,Ruthenium_AvSpec_1,186.22282208126884,44559.38010406494,C12 H28 N,0.0010274940465819,3.624803530889536,3.0,0.2393549545646481,0.3277126449221006,0.3677665304714862,6.0
