,spectrum_id,label,compound_id,parent_full_mw,ms1_rt,ms2_rt,ms2_max_intensity,parent_mz,parent_intensity,parent_fromms1_mz,parent_fromms1_intensity,scan_type,mzml_file,mzml_file_short,spectrum_folder,n_averaged,spectrum_ids_orig,flags,xlogp_predicted,xlogp_predicted_sd,isomer_flag
10,Ruthenium_AvSpec_10,1,Ruthenium_26,390.2767081946439,15.021724,15.030142444444444,586745.171875,391.2839847946439,8683265.881969778,391.28364460394033,1723768.076388889,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML,20161130_Kat-6_pos_01-20161201_Kat-0_pos_02-20161201_Kat-3_pos_01-20161201_Kat-3_pos_02,Ruthenium,9.0,20161130_Kat6_pos_01_2531-20161201_Kat0_pos_02_2565-20161201_Kat0_pos_02_2575-20161201_Kat0_pos_02_2587-20161201_Kat3_pos_01_2662-20161201_Kat3_pos_01_2672-20161201_Kat3_pos_01_2684-20161201_Kat3_pos_02_2578-20161201_Kat3_pos_02_2588,1,5.397729591543061,1.600774559388309,2
11,Ruthenium_AvSpec_11,1,Ruthenium_78,228.20856266809287,9.62600575,9.633306527272726,939904.4474431818,227.20128606809288,27770788.49851227,227.20116657493284,5666132.551136363,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_02.mzML,20161201_Kat-0_neg_01-20161201_Kat-0_neg_02-20161201_Kat-0_neg_03-20161201_Kat-3_neg_01-20161201_Kat-3_neg_02-20161201_Kat-3_neg_03-20161201_Kat-6_neg_01-20161201_Kat-6_neg_02,Ruthenium,22.0,20161201_Kat0_neg_01_1971-20161201_Kat0_neg_01_1981-20161201_Kat0_neg_01_1993-20161201_Kat0_neg_01_2005-20161201_Kat0_neg_02_1977-20161201_Kat0_neg_02_1989-20161201_Kat0_neg_03_1975-20161201_Kat0_neg_03_1986-20161201_Kat3_neg_01_1975-20161201_Kat3_neg_01_1985-20161201_Kat3_neg_01_1997-20161201_Kat3_neg_02_1997-20161201_Kat3_neg_03_1959-20161201_Kat3_neg_03_1971-20161201_Kat3_neg_03_1994-20161201_Kat6_neg_01_1961-20161201_Kat6_neg_01_1973-20161201_Kat6_neg_01_1997-20161201_Kat6_neg_01_2009-20161201_Kat6_neg_02_1943-20161201_Kat6_neg_02_1965-20161201_Kat6_neg_02_1989,21,1.9669129536604235,0.9193626822005853,1
12,Ruthenium_AvSpec_12,1,Ruthenium_74,254.2245036130253,9.96366478125,9.97285744375,673700.955078125,253.2172270130253,18756985.653835878,253.2169905197213,3827041.77734375,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_03.mzML,20161201_Kat-0_neg_01-20161201_Kat-3_neg_01-20161201_Kat-3_neg_02-20161201_Kat-3_neg_03-20161201_Kat-6_neg_01-20161201_Kat-6_neg_02-20161201_Kat-6_neg_03,Ruthenium,16.0,20161201_Kat0_neg_01_2055-20161201_Kat0_neg_01_2071-20161201_Kat3_neg_01_2066-20161201_Kat3_neg_01_2078-20161201_Kat3_neg_01_2091-20161201_Kat3_neg_02_2022-20161201_Kat3_neg_03_2059-20161201_Kat6_neg_01_2034-20161201_Kat6_neg_01_2045-20161201_Kat6_neg_01_2057-20161201_Kat6_neg_01_2069-20161201_Kat6_neg_02_2034-20161201_Kat6_neg_02_2046-20161201_Kat6_neg_02_2058-20161201_Kat6_neg_02_2070-20161201_Kat6_neg_03_2042,21,2.1827684941173624,0.9616661297704673,2
13,Ruthenium_AvSpec_13,1,Ruthenium_80,242.22432610145032,10.003719863636364,10.012431186363637,725062.3245738636,241.2170495014504,17818040.37013227,241.2167189080499,3663942.715909091,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_02.mzML,20161201_Kat-0_neg_01-20161201_Kat-0_neg_02-20161201_Kat-0_neg_03-20161201_Kat-3_neg_01-20161201_Kat-3_neg_02-20161201_Kat-3_neg_03-20161201_Kat-6_neg_01-20161201_Kat-6_neg_02,Ruthenium,22.0,20161201_Kat0_neg_01_2067-20161201_Kat0_neg_01_2078-20161201_Kat0_neg_02_2050-20161201_Kat0_neg_02_2062-20161201_Kat0_neg_03_2063-20161201_Kat0_neg_03_2074-20161201_Kat3_neg_01_2059-20161201_Kat3_neg_01_2071-20161201_Kat3_neg_01_2082-20161201_Kat3_neg_01_2094-20161201_Kat3_neg_01_2106-20161201_Kat3_neg_02_2030-20161201_Kat3_neg_02_2066-20161201_Kat3_neg_03_2050-20161201_Kat3_neg_03_2062-20161201_Kat3_neg_03_2074-20161201_Kat3_neg_03_2098-20161201_Kat6_neg_01_2037-20161201_Kat6_neg_01_2049-20161201_Kat6_neg_01_2061-20161201_Kat6_neg_02_2037-20161201_Kat6_neg_02_2049,21,2.207925874602126,0.9666046880980623,1
14,Ruthenium_AvSpec_14,1,Ruthenium_79,242.22426964852963,10.2099540625,10.2199828125,408050.1005859375,241.2169930485296,11079517.647225438,241.21672250099977,2257323.75390625,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_03.mzML,20161201_Kat-0_neg_01-20161201_Kat-0_neg_02-20161201_Kat-0_neg_03-20161201_Kat-3_neg_01-20161201_Kat-3_neg_02-20161201_Kat-3_neg_03-20161201_Kat-6_neg_01-20161201_Kat-6_neg_02-20161201_Kat-6_neg_03,Ruthenium,16.0,20161201_Kat0_neg_01_2091-20161201_Kat0_neg_01_2102-20161201_Kat0_neg_01_2119-20161201_Kat0_neg_02_2074-20161201_Kat0_neg_02_2086-20161201_Kat0_neg_02_2099-20161201_Kat0_neg_03_2087-20161201_Kat3_neg_01_2131-20161201_Kat3_neg_02_2078-20161201_Kat3_neg_02_2090-20161201_Kat3_neg_02_2102-20161201_Kat3_neg_03_2122-20161201_Kat6_neg_01_2121-20161201_Kat6_neg_02_2097-20161201_Kat6_neg_02_2110-20161201_Kat6_neg_03_2107,21,2.339868291065553,0.9925318311970085,1
15,Ruthenium_AvSpec_15,1,Ruthenium_78,228.20843801131588,9.628641750000002,9.635773605,1066461.82265625,227.20116141131584,32413485.4074033,227.2011760708618,6690328.65625,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_03.mzML,20161201_Kat-0_neg_02-20161201_Kat-0_neg_03-20161201_Kat-3_neg_01-20161201_Kat-3_neg_02-20161201_Kat-3_neg_03-20161201_Kat-6_neg_01-20161201_Kat-6_neg_02-20161201_Kat-6_neg_03,Ruthenium,20.0,20161201_Kat0_neg_02_1955-20161201_Kat0_neg_02_1965-20161201_Kat0_neg_03_1963-20161201_Kat0_neg_03_1998-20161201_Kat3_neg_01_2009-20161201_Kat3_neg_01_2022-20161201_Kat3_neg_02_1939-20161201_Kat3_neg_02_1961-20161201_Kat3_neg_02_1973-20161201_Kat3_neg_02_1985-20161201_Kat3_neg_03_1982-20161201_Kat3_neg_03_2006-20161201_Kat6_neg_01_1951-20161201_Kat6_neg_01_1985-20161201_Kat6_neg_02_1953-20161201_Kat6_neg_02_1977-20161201_Kat6_neg_02_2001-20161201_Kat6_neg_03_1965-20161201_Kat6_neg_03_2001-20161201_Kat6_neg_03_2013,21,1.9684812969348138,0.9196695686484648,1
16,Ruthenium_AvSpec_16,1,Ruthenium_80,242.22416965078827,10.028258475,10.03494375,1580243.7734375,241.21689305078823,38673906.262093246,241.21675600225348,8156469.21875,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_03.mzML,20161201_Kat-0_neg_03-20161201_Kat-6_neg_02-20161201_Kat-6_neg_03,Ruthenium,4.0,20161201_Kat0_neg_03_2051-20161201_Kat6_neg_02_2073-20161201_Kat6_neg_03_2057-20161201_Kat6_neg_03_2093,21,2.2222373117238807,0.9694148417589132,1
17,Ruthenium_AvSpec_17,1,Ruthenium_72,226.1929785095071,8.747908125,8.7600695625,36676.594970703125,227.2002551095071,3059429.535104375,227.2004419473861,266728.35546875,positive,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_03.mzML,20161201_Kat-0_pos_01-20161201_Kat-0_pos_03-20161201_Kat-3_pos_01-20161201_Kat-3_pos_02-20161201_Kat-3_pos_03-20161201_Kat-6_pos_01-20161201_Kat-6_pos_02-20161201_Kat-6_pos_03,Ruthenium,8.0,20161201_Kat0_pos_01_1573-20161201_Kat0_pos_03_1437-20161201_Kat3_pos_01_1429-20161201_Kat3_pos_02_1426-20161201_Kat3_pos_03_1448-20161201_Kat6_pos_01_1482-20161201_Kat6_pos_02_1429-20161201_Kat6_pos_03_1451,21,1.4117884411615411,0.811259602932172,1
18,Ruthenium_AvSpec_18,1,Ruthenium_74,254.224277281021,9.8821986375,9.89548945,14379.770324707031,255.231553881021,1525201.2524223248,255.231658317172,247090.509765625,positive,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_03.mzML,20161201_Kat-0_pos_01-20161201_Kat-0_pos_02-20161201_Kat-0_pos_03-20161201_Kat-3_pos_01-20161201_Kat-3_pos_02-20161201_Kat-6_pos_01-20161201_Kat-6_pos_02-20161201_Kat-6_pos_03,Ruthenium,8.0,20161201_Kat0_pos_01_1787-20161201_Kat0_pos_02_1609-20161201_Kat0_pos_03_1623-20161201_Kat3_pos_01_1630-20161201_Kat3_pos_02_1621-20161201_Kat6_pos_01_1697-20161201_Kat6_pos_02_1620-20161201_Kat6_pos_03_1636,22,2.1335849717218536,0.9520158610808233,2
19,Ruthenium_AvSpec_19,1,Ruthenium_32,148.0160253826035,10.1929855,10.200093399999997,27894.802506510416,149.02330198260353,9009076.32934922,149.02324249474847,1967115.54296875,positive,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_03.mzML,20161201_Kat-0_pos_01-20161201_Kat-0_pos_02-20161201_Kat-0_pos_03-20161201_Kat-3_pos_01-20161201_Kat-3_pos_02-20161201_Kat-3_pos_03-20161201_Kat-6_pos_01-20161201_Kat-6_pos_02-20161201_Kat-6_pos_03,Ruthenium,30.0,20161201_Kat0_pos_01_1841-20161201_Kat0_pos_01_1853-20161201_Kat0_pos_02_1659-20161201_Kat0_pos_02_1671-20161201_Kat0_pos_03_1659-20161201_Kat0_pos_03_1669-20161201_Kat0_pos_03_1678-20161201_Kat0_pos_03_1689-20161201_Kat3_pos_01_1680-20161201_Kat3_pos_01_1692-20161201_Kat3_pos_01_1704-20161201_Kat3_pos_02_1664-20161201_Kat3_pos_02_1672-20161201_Kat3_pos_02_1684-20161201_Kat3_pos_03_1671-20161201_Kat3_pos_03_1681-20161201_Kat3_pos_03_1689-20161201_Kat3_pos_03_1697-20161201_Kat6_pos_01_1730-20161201_Kat6_pos_01_1740-20161201_Kat6_pos_01_1752-20161201_Kat6_pos_01_1764-20161201_Kat6_pos_01_1776-20161201_Kat6_pos_02_1663-20161201_Kat6_pos_02_1671-20161201_Kat6_pos_02_1683-20161201_Kat6_pos_03_1668-20161201_Kat6_pos_03_1678-20161201_Kat6_pos_03_1690-20161201_Kat6_pos_03_1702,1,2.327224414473791,0.9900454288853202,1
