,spectrum_id,mz,intensity
0,AcidMix100_1o5kV_01_0224,55.018638610839844,1872.7955322265625
1,AcidMix100_1o5kV_01_0224,59.42727279663086,1234.96435546875
2,AcidMix100_1o5kV_01_0224,59.90808868408203,1239.0966796875
3,AcidMix100_1o5kV_01_0224,61.68309783935547,1371.537841796875
4,AcidMix100_1o5kV_01_0224,67.37570190429688,1233.8394775390625
5,AcidMix100_1o5kV_01_0224,73.00485229492188,1292.4503173828125
6,AcidMix100_1o5kV_01_0224,73.02941131591797,661429.5625
7,AcidMix100_1o5kV_01_0224,76.79094696044922,1224.1224365234375
8,AcidMix100_1o5kV_01_0224,79.97977447509766,1240.4488525390625
9,AcidMix100_1o5kV_01_0224,99.00875854492188,72338.328125
10,AcidMix100_1o5kV_01_0224,99.92578887939453,84730.359375
11,AcidMix100_1o5kV_01_0224,105.32752990722656,1398.4085693359375
12,AcidMix100_1o5kV_01_0224,116.92852020263672,463373.6875
13,AcidMix100_1o5kV_01_0224,117.01930236816406,172109.78125
14,AcidMix100_1o5kV_01_0224,123.55397033691406,1592.790771484375
15,AcidMix100_1o5kV_01_0224,124.13334655761719,1370.9827880859375
16,AcidMix100_1o5kV_01_0224,124.22685241699219,1465.2744140625
17,AcidMix100_1o5kV_01_0224,132.86306762695312,1487.2525634765625
18,AcidMix100_1o5kV_01_0270,56.56264877319336,2221.5234375
19,AcidMix100_1o5kV_01_0270,73.02937316894531,385404.875
20,AcidMix100_1o5kV_01_0270,73.26815032958984,2298.776611328125
21,AcidMix100_1o5kV_01_0270,74.77926635742188,2426.7890625
22,AcidMix100_1o5kV_01_0270,85.50332641601562,2202.22314453125
23,AcidMix100_1o5kV_01_0270,95.55720520019531,2981.770263671875
24,AcidMix100_1o5kV_01_0270,99.0086898803711,39884.46484375
25,AcidMix100_1o5kV_01_0270,99.92573547363281,100218.0625
26,AcidMix100_1o5kV_01_0270,101.74498748779297,2163.53125
27,AcidMix100_1o5kV_01_0270,105.72283172607422,2590.800048828125
28,AcidMix100_1o5kV_01_0270,116.63943481445312,2437.604248046875
29,AcidMix100_1o5kV_01_0270,116.92842864990234,527593.75
30,AcidMix100_1o5kV_01_0270,117.01921081542969,111497.4375
31,AcidMix100_1o5kV_01_0270,126.4566650390625,2361.27880859375
32,AcidMix100_1o5kV_01_0278,51.85727310180664,374.3272705078125
33,AcidMix100_1o5kV_01_0278,53.21820831298828,495.7291259765625
