,spectrum_id,mz,intensity,formula,formula_massdiff,formula_massdiff_ppm,n_averaged,rel_intensity,min_intensity,max_intensity,cluster
831,Ruthenium_AvSpec_0,51.3118860191556,922.9051094055176,,-1.0,-1.0,2.0,0.0051587576717328715,0.010722424926379167,0.013578062477952919,13.0
2379,Ruthenium_AvSpec_0,51.64303717620257,1535.7793579101562,,-1.0,-1.0,2.0,0.008584537526085817,0.016296353673335623,0.02636372154600586,11.0
860,Ruthenium_AvSpec_0,51.78425908426912,624.2662582397461,,-1.0,-1.0,2.0,0.003489457709225042,0.010874225837615256,0.05186093330860097,2.0
832,Ruthenium_AvSpec_0,52.971945783159356,910.2817535400391,,-1.0,-1.0,2.0,0.005088196968091304,0.010357001224478364,0.013544747732759262,27.0
188,Ruthenium_AvSpec_0,53.00320362304739,3807.7690963745117,C3 H O,0.0004348955708834,2.4375127316056138,9.0,0.021284266213199836,0.04023391677241199,0.09927455367306673,24.0
189,Ruthenium_AvSpec_0,53.992564183906396,1506.546630859375,,-1.0,-1.0,2.0,0.00842113551064348,0.012769781963351299,0.026320082085253424,20.0
190,Ruthenium_AvSpec_0,55.45816998371065,690.7543258666992,,-1.0,-1.0,2.0,0.003861105699309501,0.02315064554064413,0.05993136637802807,1.0
868,Ruthenium_AvSpec_0,58.16732048077714,766.6341552734375,,-1.0,-1.0,2.0,0.004285250769146572,0.01583367395943756,0.07691434715358449,14.0
2385,Ruthenium_AvSpec_0,59.52210624941782,1260.3150100708008,,-1.0,-1.0,2.0,0.007044775958809926,0.0198999637192396,0.055975477152069596,0.0
2386,Ruthenium_AvSpec_0,59.598098351033244,1690.1786804199219,,-1.0,-1.0,2.0,0.009447582579569892,0.01860626366571463,0.0187569821769928,55.0
836,Ruthenium_AvSpec_0,59.92468881516457,1531.9974822998047,,-1.0,-1.0,2.0,0.008563397996550643,0.013278347741394123,0.02099573740733214,4.0
873,Ruthenium_AvSpec_0,64.1909331398856,1219.4300651550293,,-1.0,-1.0,2.0,0.006816241604526774,0.01936431567365093,0.08778617017201486,6.0
3,Ruthenium_AvSpec_0,65.03953505865091,57006.54476118088,,-1.0,-1.0,10.0,0.3186491732775827,0.775910113494158,1.0,40.0
199,Ruthenium_AvSpec_0,67.02999847802633,1881.9251914978026,,-1.0,-1.0,5.0,0.010519387009917232,0.01278303011012644,0.07116535052888677,3.0
5,Ruthenium_AvSpec_0,67.89915329428882,712.8865394592285,,-1.0,-1.0,2.0,0.0039848180132834,0.011658169268351113,0.04428333459605761,28.0
841,Ruthenium_AvSpec_0,68.68826527036671,1855.8225936889648,,-1.0,-1.0,2.0,0.010373481460878459,0.01311148819379243,0.016449451017318064,19.0
