,spectrum_id,label,compound_id,parent_full_mw,ms1_rt,ms2_rt,ms2_max_intensity,parent_mz,parent_intensity,parent_fromms1_mz,parent_fromms1_intensity,scan_type,mzml_file,mzml_file_short,spectrum_folder,n_averaged,spectrum_ids_orig
49,DiAcids_AvSpec_49,1,DiAcids_00,230.15169465160852,4.9812943999999995,4.9857866,28059394.0,229.1444180516085,75899990.0,229.14443969726562,75899990.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML-SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix50_1o5kV_01-AcidMix50_3o0kV_01,DiAcids,2.0,AcidMix50_1o5kV_01_1440-AcidMix50_3o0kV_01_1454
50,DiAcids_AvSpec_50,1,DiAcids_00,230.15159359824105,5.1464621,5.1509532,580114.875,229.144316998241,2069356.125,229.1443023681641,2069356.125,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix50_1o5kV_01,DiAcids,1.0,AcidMix50_1o5kV_01_1488
51,DiAcids_AvSpec_51,1,DiAcids_11,104.010793750879,1.0558622,1.0603556,59905.33203125,103.003517150879,772343.5,103.00354766845705,772343.5,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix50_3o0kV_01,DiAcids,1.0,AcidMix50_3o0kV_01_0306
52,DiAcids_AvSpec_52,1,DiAcids_11,104.010831897852,1.2128102,1.2173013,90775.6171875,103.003555297852,1337421.25,103.0035629272461,1337421.25,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix50_3o0kV_01,DiAcids,1.0,AcidMix50_3o0kV_01_0352
53,DiAcids_AvSpec_53,1,DiAcids_08,166.02641112148402,3.5290365,3.5335276,1329575.875,165.019134521484,7898719.5,165.01890563964844,7898719.5,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix50_3o0kV_01,DiAcids,1.0,AcidMix50_3o0kV_01_1030
54,DiAcids_AvSpec_54,1,DiAcids_00,230.15167167753,5.1420769,5.1465681,1999218.375,229.14439507753,8685917.0,229.144287109375,8685917.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix50_3o0kV_01,DiAcids,1.0,AcidMix50_3o0kV_01_1502
55,DiAcids_AvSpec_55,1,DiAcids_04,258.18305785,5.5833352,5.5878264,1721339.875,257.17578125,5752540.0,257.1758117675781,5752540.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix50_3o0kV_01,DiAcids,1.0,AcidMix50_3o0kV_01_1630
56,DiAcids_AvSpec_56,1,DiAcids_03,286.214250929944,5.9413291,5.9458224,1179809.5,285.206974329944,3425337.25,285.2069702148437,3425337.25,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix50_3o0kV_01,DiAcids,1.0,AcidMix50_3o0kV_01_1734
57,DiAcids_AvSpec_57,1,DiAcids_11,104.010923450586,0.98613605,0.99062742,7340.83154296875,103.003646850586,1527271.25,103.00357818603516,570804.9375,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_4o0kV_01.mzML,AcidMix50_4o0kV_01,DiAcids,1.0,AcidMix50_4o0kV_01_0284
58,DiAcids_AvSpec_58,1,DiAcids_11,104.010892933008,1.1492884,1.1537796,106250.90625,103.003616333008,1538222.75,103.00352478027344,1419039.75,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_4o0kV_01.mzML,AcidMix50_4o0kV_01,DiAcids,1.0,AcidMix50_4o0kV_01_0332
59,DiAcids_AvSpec_59,1,DiAcids_01,202.12027702927,4.3593107,4.3638042,31500720.0,201.11300042927,115790520.0,201.1131134033203,115790520.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_4o0kV_01.mzML,AcidMix50_4o0kV_01,DiAcids,1.0,AcidMix50_4o0kV_01_1274
60,DiAcids_AvSpec_60,1,DiAcids_00,230.151578968164,4.9690426,4.9735334,22403514.0,229.144302368164,48715644.0,229.1443023681641,48715644.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_4o0kV_01.mzML,AcidMix50_4o0kV_01,DiAcids,1.0,AcidMix50_4o0kV_01_1452
61,DiAcids_AvSpec_61,1,DiAcids_03,286.21423729234704,5.7795573,5.7840504,35585040.0,285.206960692347,83978064.0,285.2070617675781,83978064.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_4o0kV_01.mzML,AcidMix50_4o0kV_01,DiAcids,1.0,AcidMix50_4o0kV_01_1686
62,DiAcids_AvSpec_62,1,DiAcids_03,286.214225451792,5.9451532,5.9496444,1747428.125,285.206948851792,5122978.5,285.20703125,5122978.5,negative,SN51_2019-03-20_HyFlexFuel_AcidMix50_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_4o0kV_01.mzML,AcidMix50_4o0kV_01,DiAcids,1.0,AcidMix50_4o0kV_01_1734
